0,1,2,3,4,5
1642462680000,42239.0,42249.0,42201.0,42202.0,419007.3619
1642462740000,42202.0,42210.0,42165.0,42189.0,269489.8
1642462800000,42190.0,42199.0,42170.0,42176.0,76322.861
1642462860000,42176.0,42186.0,42171.0,42179.0,28838.3438
1642462920000,42179.0,42204.0,42179.0,42203.0,129767.673
1642462980000,42203.0,42214.0,42190.0,42201.0,198958.3811
1642463040000,42201.0,42218.0,42193.0,42215.0,58493.6674
1642463100000,42215.0,42216.0,42204.0,42212.0,4043.3952
1642463160000,42212.0,42235.0,42212.0,42235.0,153831.5515
1642463220000,42235.0,42255.0,42235.0,42251.0,989450.2704
1642463280000,42251.0,42260.0,42233.0,42260.0,156730.3817
1642463340000,42260.0,42263.0,42253.0,42253.0,34375.6654
1642463400000,42253.0,42254.0,42229.0,42230.0,386235.6397
1642463460000,42230.0,42235.0,42217.0,42235.0,397038.0072
1642463520000,42235.0,42235.0,42186.0,42187.0,35989.9262
1642463580000,42187.0,42217.0,42186.0,42212.0,143095.6735
1642463640000,42212.0,42212.0,42171.0,42208.0,387216.3451
1642463700000,42208.0,42241.0,42204.0,42241.0,57093.2296
1642463760000,42241.0,42256.0,42233.0,42245.0,219080.1695
1642463820000,42245.0,42261.0,42245.0,42251.0,130333.047
1642463880000,42251.0,42255.0,42240.0,42244.0,56602.8406
1642463940000,42244.0,42250.0,42215.0,42216.0,113665.1874
1642464000000,42216.0,42288.0,42216.0,42287.0,595801.5256
1642464060000,42287.0,42312.0,42279.0,42312.0,430367.3401
1642464120000,42312.0,42312.0,42235.0,42248.0,630364.2233
1642464180000,42248.0,42256.0,42214.0,42226.0,126859.8689
1642464240000,42226.0,42230.0,42204.0,42212.0,149735.1635
1642464300000,42212.0,42212.0,42159.0,42172.0,298541.5614
1642464360000,42172.0,42205.0,42148.0,42174.0,357602.4422
1642464420000,42174.0,42198.0,42168.0,42198.0,187260.2372
1642464480000,42198.0,42229.0,42198.0,42218.0,82754.5559
1642464540000,42218.0,42335.0,42217.0,42291.0,359030.9191
1642464600000,42291.0,42324.0,42277.0,42285.0,384150.5285
1642464660000,42285.0,42310.0,42254.0,42259.0,294169.0024
1642464720000,42259.0,42280.0,42249.0,42280.0,43695.3066
1642464780000,42280.0,42320.0,42280.0,42289.0,68431.8824
1642464840000,42289.0,42305.0,42275.0,42301.0,55285.8284
1642464900000,42301.0,42330.0,42301.0,42327.0,174158.5181
1642464960000,42327.0,42344.0,42316.0,42320.0,305590.7965
1642465020000,42320.0,42341.0,42320.0,42341.0,120748.1931
1642465080000,42341.0,42371.0,42341.0,42371.0,541496.3373
1642465140000,42371.0,42371.0,42319.0,42328.0,61153.7318
1642465200000,42328.0,42383.0,42327.0,42383.0,404703.5983
1642465260000,42383.0,42412.0,42377.0,42398.0,3469132.3937
1642465320000,42398.0,42424.0,42389.0,42416.0,550964.4661
1642465380000,42416.0,42417.0,42332.0,42335.0,339419.417
1642465440000,42335.0,42343.0,42317.0,42317.0,146189.474
1642465500000,42317.0,42326.0,42291.0,42294.0,26941.1448
1642465560000,42294.0,42305.0,42278.0,42304.0,161316.2476
1642465620000,42304.0,42311.0,42287.0,42295.0,152531.9791
1642465680000,42295.0,42306.0,42274.0,42291.0,215032.1301
1642465740000,42291.0,42305.0,42282.0,42285.0,70844.1974
1642465800000,42285.0,42316.0,42282.0,42283.0,103271.5069
1642465860000,42283.0,42295.0,42268.0,42268.0,121756.2887
1642465920000,42268.0,42282.0,42246.0,42282.0,50862.1481
1642465980000,42283.0,42296.0,42278.0,42288.0,22720.63
1642466040000,42288.0,42307.0,42288.0,42296.0,8856.6196
1642466100000,42296.0,42323.0,42292.0,42323.0,136967.0038
1642466160000,42323.0,42330.0,42323.0,42326.0,23051.5012
1642466220000,42326.0,42362.0,42313.0,42348.0,107310.7486
1642466280000,42348.0,42354.0,42311.0,42312.0,92834.0179
1642466340000,42312.0,42326.0,42312.0,42321.0,7252.851
1642466400000,42321.0,42339.0,42317.0,42339.0,80984.8947
1642466460000,42339.0,42339.0,42309.0,42312.0,100248.3002
1642466520000,42312.0,42313.0,42262.0,42277.0,263756.6529
1642466580000,42277.0,42288.0,42265.0,42288.0,74757.0325
1642466640000,42288.0,42300.0,42281.0,42300.0,28319.5904
1642466700000,42300.0,42336.0,42300.0,42336.0,68261.1556
1642466760000,42336.0,42390.0,42336.0,42384.0,131358.1731
1642466820000,42384.0,42390.0,42364.0,42364.0,44965.6458
1642466880000,42364.0,42374.0,42342.0,42352.0,69032.6072
1642466940000,42352.0,42366.0,42342.0,42360.0,26425.7811
1642467000000,42360.0,42408.0,42360.0,42405.0,105695.9293
1642467060000,42406.0,42430.0,42399.0,42420.0,287790.6158
1642467120000,42420.0,42421.0,42381.0,42384.0,86188.7462
1642467180000,42384.0,42405.0,42373.0,42393.0,47532.0309
