Time,Open,High,Low,Close,Vol
1643042520000,34135.29,34166.14,34135.29,34153.08,0.0296637
1643042580000,34194.14,34194.14,34048.55,34108.87,1.10539826
1643042640000,34108.91,34115.87,34073.12,34101.17,0.45974356
1643042700000,34108.12,34173.85,34108.12,34125.8,1.34446758
1643042760000,34089.05,34112.47,33992.94,34019.04,0.33812842
1643042820000,34019.04,34043.52,33975.74,33975.74,0.19395711
1643042880000,33975.74,33982.24,33850.91,33861.72,0.12254831
1643042940000,33851.11,33881.42,33823.0,33852.22,0.48644357
1643043000000,33806.51,33933.99,33803.1,33924.81,1.81665814
1643043060000,33959.43,33995.31,33893.7,33898.41,0.20291447
1643043120000,33920.64,34009.82,33912.38,34002.78,0.3281527
1643043180000,33992.54,34093.82,33992.54,34078.15,0.52985937
1643043240000,34082.63,34187.36,34082.63,34187.36,0.29622277
1643043300000,34183.3,34364.66,34183.3,34333.56,5.26531868
1643043360000,34362.87,34424.81,34343.18,34422.57,0.50447005
1643043420000,34389.89,34412.19,34308.22,34354.21,0.29315366
1643043480000,34367.44,34367.44,34293.35,34312.58,0.22045052
1643043540000,34315.73,34447.39,34313.48,34447.39,0.62125484
1643043600000,34404.36,34468.4,34368.09,34424.37,1.864903
1643043660000,34420.39,34445.51,34357.41,34375.0,0.2900309
1643043720000,34356.36,34365.68,34335.05,34342.45,2.62347967
1643043780000,34337.88,34367.47,34330.04,34367.47,1.74266882
1643043840000,34359.86,34397.6,34312.72,34386.75,1.79296569
1643043900000,34401.03,34401.03,34281.67,34350.12,2.47469892
1643043960000,34326.46,34376.49,34296.12,34376.49,1.29655825
1643044020000,34364.58,34376.67,34332.44,34332.44,0.14547607
1643044080000,34335.68,34399.16,34335.68,34346.88,0.60034568
1643044140000,34333.5,34356.31,34287.85,34356.31,1.32396213
1643044200000,34321.34,34376.97,34318.07,34323.03,0.12262059
1643044260000,34306.33,34330.21,34298.18,34330.21,0.49107913
1643044320000,34337.33,34353.64,34240.9,34260.86,14.1643757
1643044380000,34267.7,34267.7,34162.7,34212.09,3.19997681
1643044440000,34202.58,34314.88,34179.55,34308.44,2.53973328
1643044500000,34289.91,34289.91,34232.18,34269.18,0.59999223
1643044560000,34261.26,34309.81,34250.05,34254.52,1.41422422
1643044620000,34240.76,34240.76,34164.95,34175.43,0.32867579
1643044680000,34173.88,34265.7,34170.94,34245.96,2.04089012
1643044740000,34269.85,34341.96,34215.28,34341.96,0.89245232
1643044800000,34348.17,34376.34,34332.5,34364.08,0.48678244
1643044860000,34395.6,34539.68,34393.06,34501.49,0.33188727
1643044920000,34554.16,34727.45,34554.16,34623.34,1.85326947
1643044980000,34609.92,34641.89,34559.66,34630.32,0.42012859
1643045040000,34597.55,34652.4,34560.2,34565.17,3.73068747
1643045100000,34532.49,34565.22,34508.57,34565.22,1.31225769
1643045160000,34531.93,34569.17,34531.93,34561.76,0.05320915
1643045220000,34580.33,34665.4,34580.33,34635.0,0.25834917
1643045280000,34629.86,34800.0,34629.86,34765.76,0.68351155
1643045340000,34716.98,34716.98,34623.02,34686.5,0.05291637
1643045400000,34653.95,34738.09,34653.95,34678.84,0.02826181
1643045460000,34645.19,34763.49,34570.4,34763.49,0.42664109
1643045520000,34735.44,34765.4,34704.13,34752.67,2.4474039
1643045580000,34739.94,34852.17,34739.94,34847.53,0.55132884
1643045640000,34852.42,34936.48,34795.49,34934.47,2.29947407
1643045700000,34892.83,34892.83,34791.64,34791.64,2.67365675
1643045760000,34806.4,34828.0,34795.72,34808.41,0.77757096
1643045820000,34849.25,34849.25,34778.2,34814.16,0.18245538
1643045880000,34828.51,34895.45,34820.15,34857.27,0.31321797
1643045940000,34847.48,34999.65,34809.08,34974.49,2.60227153
